distancia_km,peso_carga_kg,es_refrigerado,es_material_peligroso,antiguedad_camion_anios,numero_paradas,costo_total_transporte
524.5071229516849,14282.451988878123,0,0,3.7518757722626335,5,1111.57
429.2603548243223,15872.738642131444,0,0,2.1387971869390014,2,919.02
547.1532807151038,10674.766467266709,0,0,10.3101863929333,1,1045.05
678.4544784612037,9551.053061969,0,0,4.842273198086753,2,1196.68
414.8769937914996,7659.397893768808,0,0,4.78252457238459,3,846.73
414.8794564576229,8698.357880084179,0,0,2.03864009767944,1,697.55
686.8819223261087,23796.377701234902,0,0,4.596788113029344,1,1298.55
565.1152093729363,16978.71832294715,1,0,10.459402155946202,3,1587.33
379.5788421097572,6595.702535167915,0,0,4.357544525875631,3,653.44
531.3840065378947,6710.16817302572,0,0,11.419242749997457,3,1050.95
380.48734607813066,13927.464246873966,0,0,11.35570679050065,2,905.63
380.1405369644615,14189.059189511867,1,0,1.7387839116881523,3,1095.64
486.2943407349051,14195.535341269457,0,0,2.1277350422717385,3,937.87
163.00796330133034,10980.176825785209,0,0,10.35208884398267,3,625.63
191.26232512304506,11498.182959988399,0,0,4.7131310270966305,2,518.88
365.6568706138541,13311.51809663743,0,0,0.05248778739611204,3,814.18
298.0753319498364,12343.572025173322,0,0,3.286461836464452,2,784.83
497.1370998892911,3122.798509009859,0,0,7.17154791834672,4,839.46
313.79638867181836,11080.801477699224,1,0,9.591191591519616,2,948.91
238.15444479970628,8594.374262958745,1,0,1.6006634051191146,3,831.43
669.8473153382331,12700.845675634047,0,0,1.3264963730008241,1,1100.36
416.13355492701965,23941.03601041364,0,0,11.06511184286798,1,1137.61
460.12923070318857,13469.926661897218,1,0,9.013780413870991,4,1329.87
236.28777206798148,10745.881255310409,0,0,7.077355209336941,4,666.82
368.3425913212226,15687.206007909008,0,0,9.230241479951136,1,801.22
466.6383884564799,13930.751548836852,0,0,5.1462523356796614,2,1009.83
277.3509633866546,13680.377961807366,0,0,9.101468967709518,2,644.92
506.3547027518508,14427.402372862683,0,0,4.461635895294429,4,1031.19
359.9041965121793,20226.174259318166,0,0,2.9291348699112283,2,941.65
406.2459375310085,7476.446258696337,0,0,8.748161055515624,2,795.48
359.74400816559046,13894.528307245819,0,0,5.036067505887219,2,774.93
727.8417276763407,8294.475480073846,0,0,11.776525251914338,4,1438.59
447.9754162893099,14222.050585368994,0,0,4.1938221876972115,5,950.52
291.34336065661495,8325.253954055623,1,0,11.060729046372792,1,761.75
573.3817368154783,10330.532745579663,0,0,11.195550582804954,2,1156.7
266.8734525043467,10819.640343048375,0,0,2.9022353647769537,2,604.31
481.3295392507133,15903.266877378835,1,0,9.57865417905616,1,1254.73
156.04948141803368,15673.817775769656,1,0,5.196894061734781,1,720.02
250.77209266523542,7017.1304942144625,0,0,11.010296726764176,3,654.86
479.5291853803685,12219.736443999394,0,0,5.401491271622866,2,928.11
560.7699869993115,9161.68058100331,0,0,8.931644608048394,3,1074.47
475.70524217849555,6965.980357298662,1,0,5.603608909965574,3,1122.75
432.6527576417639,11131.931798302518,1,0,2.733609068554274,2,1106.78
404.83444566160665,10766.06884617672,1,0,2.3922015473362355,2,975.7
228.2217014448859,21706.865945382087,0,0,5.105174331076147,1,773.52
342.02336874079367,13731.839301442786,0,0,9.065935884170578,2,865.5
380.90418435603186,6489.529996983051,0,0,7.260857822169202,1,761.17
608.5683339328374,9740.903983316231,0,0,8.26355147880652,3,1156.47
501.5427434352692,16085.533181717594,0,0,3.3879162087833095,7,1083.04
185.5439766955899,20353.7710914797,0,0,5.777224151491266,3,696.61
498.61259540921924,5656.066751048167,0,0,0.532743179631924,2,808.13
392.2376579375525,4480.30245944382,0,0,9.810388991497447,2,844.16
348.46169995410617,19483.86070148713,0,0,11.878705946878496,6,1066.87
541.7514433261301,13558.456709483615,0,0,4.882548751496051,1,1056.94
604.6499283743926,8526.829072494535,0,0,0.1315638375785202,5,1014.46
589.6920178674297,14138.51634448974,0,0,2.0375116746113684,2,1064.75
324.11737151660424,1457.0090439324886,0,1,7.830322533005026,1,864.13
403.6181436223178,12013.502026388644,0,0,7.34495181844631,1,882.72
499.6895147105346,13311.28469137234,1,0,9.454376635026527,1,1227.61
596.3317690683539,15697.08055815132,0,0,3.046608131532818,2,1083.43
378.1238643232065,7944.416190829849,0,0,9.163582986565608,3,874.89
422.1511535004274,12342.748645613436,0,0,8.255808258284038,1,896.29
284.0497538990958,8298.30149576165,0,0,3.8737739725661196,2,547.82
270.5690063878994,13021.535022697268,1,0,6.545857776683544,1,799.68
571.8788733591297,8418.614710547903,0,0,1.7672857019799206,1,953.2
653.4360042856234,10367.596643359117,1,0,5.430774041226991,2,1493.74
439.19848176294994,8016.738420839083,0,0,10.574368074667692,3,920.65
600.5299346838036,14604.544967294629,1,0,5.0542965579046895,3,1585.43
504.24540375714514,15433.804466626661,0,0,10.074800477705065,2,1156.46
353.2320368092314,11061.517720170345,1,0,7.083040383116333,1,935.2
504.20934082626206,12152.951979840112,0,0,2.302520557228281,5,960.12
680.7054849698955,6205.634341465823,0,0,6.973274936374757,5,1170.06
444.62609413350725,10801.293407972851,0,0,6.0717999498847615,2,902.88
684.6965483721009,11799.181531833021,1,1,4.783696022356608,2,2013.41
57.03823438653836,22483.1723641199,0,0,1.435565274192844,2,602.46
573.2853756562836,7552.1318969033455,0,0,5.000503966166757,2,1059.67
463.05706023572566,17856.70895500975,1,0,0.8731485148755254,3,1257.48
405.14889743011986,15987.435093863232,0,0,1.185228616785015,1,760.43
463.76411648032536,13122.545617960546,0,0,4.990998395192593,2,899.94
151.8646628098661,19034.481936780532,0,0,3.6645777836215645,2,668.49
417.0492168243732,13488.421890427451,0,0,11.106531910346682,1,916.85
503.56688572676194,13556.636782671714,1,0,4.508469664563247,1,1273.36
671.6841067112274,11787.517387929818,0,0,9.094297464865202,4,1344.42
372.2594672589529,16894.27552967451,0,0,6.362970316394913,3,923.17
328.72595956602186,16385.876935243534,1,0,8.449028023708026,2,1028.84
374.7364434623195,9497.29085001515,0,0,3.12139179618479,1,702.52
587.3103176553111,6723.01122160493,0,0,11.302859674059949,1,1083.52
499.31266644895265,11188.077450417371,0,0,6.361061962973087,1,997.56
370.53596943494415,8799.845742409414,0,0,9.975888855422996,2,757.38
526.9901149670034,11745.90170153858,0,0,4.380548321713362,1,945.66
464.56163240220604,16949.752538736557,1,0,1.2025361886062944,2,1193.2
595.2967485799334,10170.79337965284,0,0,8.084539772650185,1,1123.31
344.69203591839715,11828.7064747537,0,0,0.09311578004909382,2,646.83
400.8506780103348,12232.090939233582,0,1,5.703515718786099,3,1162.43
391.1837770301764,15393.723528821138,0,0,2.313622831997511,2,868.74
230.4727577801822,3012.4426640615784,1,0,7.528506053224346,4,563.36
