temperatura_motor_c,vibracion_mm_s,corriente_amperios,horas_operacion,presion_aceite_psi,eficiencia_energetica_pct,ruido_acustico_db,tipo_falla,desgaste_rodamiento_micras,falla_inminente
84.149368286034,3.2400960840332766,12.979910661827908,6567.138516235294,43.29529304143921,97.70204155255438,73.46307296278556,Falla por Vibración,159.77123950419224,1
79.20030735018287,0.6378731260415003,10.038578248108859,7607.205866530116,47.32775340934321,94.5597253631492,57.640446501250985,Sin Falla,80.15002988828198,0
87.45363068424976,0.45890103772560437,10.099711992993383,2345.877483854129,52.196242854299065,95.47962531955157,59.0680980438559,Sin Falla,16.486132649213907,0
80.23218274078074,0.7010691577685522,9.83898592275397,6476.145460524151,50.31061446184753,95.23513529936619,56.85131656453608,Sin Falla,64.59611459843268,0
69.23554703523759,0.5272139930170957,10.302803116315657,3818.5769837959056,52.47920995199157,94.43406286910759,58.54321937351658,Sin Falla,38.799414376486475,0
78.41795775152599,0.26770725517043803,9.460131839362075,4853.324208101674,47.994635267440465,94.37516538156552,58.07844088351022,Sin Falla,43.37057569996969,0
81.219003568856,0.4344853644142674,9.825280336391522,7264.245960984704,45.683839696829395,94.76772649720053,62.054120853746035,Sin Falla,78.10725516433038,0
90.33870549435244,2.142995747323219,13.042757174573238,11418.445891944157,49.21514165493183,89.39509098539551,70.05197383678602,Falla por Vibración,382.1387897811633,1
86.78120014285412,0.45780086643226797,10.160796605669619,1480.7721505119773,51.10023922367677,94.37096213879639,58.61239116419635,Sin Falla,12.208550776493642,0
82.43250821913101,0.28922152297946374,9.461660436264493,6552.667619637345,49.29882782644482,94.73683872794017,60.22083609389224,Sin Falla,71.82309475355429,0
75.80391238388681,0.6370376939349874,9.722226610256566,7290.549380743102,51.73804027927033,94.74294759118693,60.41427887355714,Sin Falla,78.7130090498409,0
79.96964544230053,0.43805032667848487,9.257971667537833,7580.532905738083,55.73601640715809,94.34161728205956,61.69054659408419,Sin Falla,69.99177686074202,0
81.00549523357483,0.5685920606922862,9.772602641311154,1960.97088329656,49.15362266919826,94.81277267849312,59.76962334244704,Sin Falla,18.106861880039357,0
80.90933127529247,0.41741947257626244,10.035626874955446,6121.2813384332485,48.198842921386685,96.46785044499731,58.13376182262772,Sin Falla,68.99489356219132,0
90.76591228755778,0.6965463119179413,9.158670652938657,1433.988385999579,51.0236475274761,95.85520150774826,56.510934222787895,Sin Falla,19.38781369945176,0
82.31051737131635,0.30199662331689414,10.677721400552748,6816.048604011791,52.57441721280205,93.94994521017681,62.101548580944225,Sin Falla,65.7061215656501,0
